text,register
τίπτε τὰρ ὧδ’ Ἀχιλεὺς ὀλοφύρεται υἷας Ἀχαιῶν ὅσσοι δὴ βέλεσιν βεβλήαται,speech
οὐδέ τι οἶδε πένθεος ὅσσον ὄρωρε κατὰ στρατόν,speech
οἳ γὰρ ἄριστοι ἐν νηυσὶν κέαται βεβλημένοι οὐτάμενοί τε,speech
βέβληται μὲν ὃ Τυδεΐδης κρατερὸς Διομήδης οὔτασται δ’ Ὀδυσεὺς δουρὶ κλυτὸς ἠδ’ Ἀγαμέμνων,speech
βέβληται δὲ καὶ Εὐρύπυλος κατὰ μηρὸν ὀϊστῷ,speech
τοῦτον δ’ ἄλλον ἐγὼ νέον ἤγαγον ἐκ πολέμοιο ἰῷ ἀπὸ νευρῆς βεβλημένον,speech
αὐτὰρ Ἀχιλλεὺς ἐσθλὸς ἐὼν Δαναῶν οὐ κήδεται οὐδ’ ἐλεαίρει,speech
ἦ μένει εἰς ὅ κε δὴ νῆες θοαὶ ἄγχι θαλάσσης Ἀργείων ἀέκητι πυρὸς δηΐοιο θέρωνται αὐτοί τε κτεινώμεθ’ ἐπισχερώ,speech
οὐ γὰρ ἐμὴ ἲς ἔσθ’ οἵη πάρος ἔσκεν ἐνὶ γναμπτοῖσι μέλεσσιν,speech
εἴθ’ ὣς ἡβώοιμι βίη δέ μοι ἔμπεδος εἴη ὡς ὁπότ’ Ἠλείοισι καὶ ἡμῖν νεῖκος ἐτύχθη ἀμφὶ βοηλασίῃ ὅτ’ ἐγὼ κτάνον Ἰτυμονῆα ἐσθλὸν Ὑπειροχίδην ὃς ἐν Ἤλιδι ναιετάασκε ῥύσι’ ἐλαυνόμενος,speech
ὃ δ’ ἀμύνων ᾗσι βόεσσιν ἔβλητ’ ἐν πρώτοισιν ἐμῆς ἀπὸ χειρὸς ἄκοντι κὰδ δ’ ἔπεσεν λαοὶ δὲ περίτρεσαν ἀγροιῶται,speech
ληΐδα δ’ ἐκ πεδίου συνελάσσαμεν ἤλιθα πολλὴν πεντήκοντα βοῶν ἀγέλας τόσα πώεα οἰῶν τόσσα συῶν συβόσια τόσ’ αἰπόλια πλατέ’ αἰγῶν ἵππους δὲ ξανθὰς ἑκατὸν καὶ πεντήκοντα πάσας θηλείας πολλῇσι δὲ πῶλοι ὑπῆσαν,speech
καὶ τὰ μὲν ἠλασάμεσθα Πύλον Νηλήϊον εἴσω ἐννύχιοι προτὶ ἄστυ,speech
γεγήθει δὲ φρένα Νηλεύς οὕνεκά μοι τύχε πολλὰ νέῳ πόλεμον δὲ κιόντι,speech
κήρυκες δ’ ἐλίγαινον ἅμ’ ἠοῖ φαινομένηφι τοὺς ἴμεν οἷσι χρεῖος ὀφείλετ’ ἐν Ἤλιδι δίῃ,speech
οἳ δὲ συναγρόμενοι Πυλίων ἡγήτορες ἄνδρες δαίτρευον,speech
πολέσιν γὰρ Ἐπειοὶ χρεῖος ὄφειλον ὡς ἡμεῖς παῦροι κεκακωμένοι ἐν Πύλῳ ἦμεν,speech
ἐλθὼν γάρ ῥ’ ἐκάκωσε βίη Ἡρακληείη τῶν προτέρων ἐτέων κατὰ δ’ ἔκταθεν ὅσσοι ἄριστοι,speech
δώδεκα γὰρ Νηλῆος ἀμύμονος υἱέες ἦμεν,speech
τῶν οἶος λιπόμην οἳ δ’ ἄλλοι πάντες ὄλοντο,speech
ταῦθ’ ὑπερηφανέοντες Ἐπειοὶ χαλκοχίτωνες ἡμέας ὑβρίζοντες ἀτάσθαλα μηχανόωντο,speech
ἐκ δ’ ὃ γέρων ἀγέλην τε βοῶν καὶ πῶϋ μέγ’ οἰῶν εἵλετο κρινάμενος τριηκόσι’ ἠδὲ νομῆας,speech
καὶ γὰρ τῷ χρεῖος μέγ’ ὀφείλετ’ ἐν Ἤλιδι δίῃ τέσσαρες ἀθλοφόροι ἵπποι αὐτοῖσιν ὄχεσφιν ἐλθόντες μετ’ ἄεθλα,speech
περὶ τρίποδος γὰρ ἔμελλον θεύσεσθαι,speech
τοὺς δ’ αὖθι ἄναξ ἀνδρῶν Αὐγείας κάσχεθε τὸν δ’ ἐλατῆρ’ ἀφίει ἀκαχήμενον ἵππων,speech
τῶν ὃ γέρων ἐπέων κεχολωμένος ἠδὲ καὶ ἔργων ἐξέλετ’ ἄσπετα πολλά,speech
τὰ δ’ ἄλλ’ ἐς δῆμον ἔδωκε δαιτρεύειν μή τίς οἱ ἀτεμβόμενος κίοι ἴσης,speech
ἡμεῖς μὲν τὰ ἕκαστα διείπομεν ἀμφί τε ἄστυ ἕρδομεν ἱρὰ θεοῖς,speech
οἳ δὲ τρίτῳ ἤματι πάντες ἦλθον ὁμῶς αὐτοί τε πολεῖς καὶ μώνυχες ἵπποι πανσυδίῃ,speech
μετὰ δέ σφι Μολίονε θωρήσσοντο παῖδ’ ἔτ’ ἐόντ’ οὔ πω μάλα εἰδότε θούριδος ἀλκῆς,speech
ἔστι δέ τις Θρυόεσσα πόλις αἰπεῖα κολώνη τηλοῦ ἐπ’ Ἀλφειῷ νεάτη Πύλου ἠμαθόεντος,speech
τὴν ἀμφεστρατόωντο διαρραῖσαι μεμαῶτες,speech
ἀλλ’ ὅτε πᾶν πεδίον μετεκίαθον ἄμμι δ’ Ἀθήνη ἄγγελος ἦλθε θέουσ’ ἀπ’ Ὀλύμπου θωρήσσεσθαι ἔννυχος οὐδ’ ἀέκοντα Πύλον κάτα λαὸν ἄγειρεν ἀλλὰ μάλ’ ἐσσυμένους πολεμίζειν,speech
